Altium Designer Pick and Place Locations
H:\PCB-Reviews\2019\Daniele Palossi\gap_shield-release\Fabrication\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       12.04.19
Time:       15:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                   
U5         GAP8                TopLayer    RKC0088A_V               15.7000      13.3000      360      GAP8                                                                                                                                                                                                          
Y2         ABS07-32.768KHZ-7-T BottomLayer ABRA-ABS07-2_V           21.6000      17.7000      270      "32.768kHz ±20ppm Crystal 7pF 70 kOhm -40°C ~ 85°C  Surface Mount 2-SMD, No Lead"                                                                                                                             
J2         "Solder Jumper"     TopLayer    Small_Solder_Jumper      18.6250      20.6000      270      ""                                                                                                                                                                                                            
C27        100nF               BottomLayer CAPC0402(1005)60_N       5.6000       3.2000       270      "CAP 100nF 10V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                                                                                   
C25        100nF               BottomLayer CAPC0402(1005)60_N       4.5500       12.4750      270      "CAP 100nF 10V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                                                                                   
M2         S71KS512SC0         TopLayer    FBGA24_A-130             15.7500      6.0000       270      "IC 512MB FLASH 64MB DRAM 24FBGA"                                                                                                                                                                             
U1         TXB0106PWR          BottomLayer PW0016A_L                7.2500       7.8250       270      "6-Bit Bidirectional Level-Shifting and Voltage Translator with Auto-Direction Sensing and +/- 15-kV ESD Protection, 1.2 to 3.6 V, -40 to 85 degC, 16-Pin TSSOP (PW), Green (RoHS & no Sb/Br), Tape and Reel" 
SW1        B3U-3000P           BottomLayer OMRON-B3U-3000P_V        14.0000      -1.5000      180      "Ultra-Small Tactile Switch, 1 to 50 mA, 3 to 12 V, -25 to 70 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                                                                           
R7         10k                 TopLayer    RESC1005X40X25NL05T05    6.4200       6.5100       360      "Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                                                                            
R5         10K                 TopLayer    RESC1005X40X25NL05T05    18.1500      -0.6250      90       "Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                                                                            
